Profession,Average,Men rate,職業,Occupation,Total Employed,Women Percent,Men Percent,White Percent,Black or African American Percent,Asian Percent,Hispanic or Latino Percent
cosmetologist,1.53,8.83333333333333,美容師,"Hairdressers, hairstylists, and cosmetologists",717,92.1,7.90000000000001,77,13.2,6.8,18
manicurist,1.55,9.16666666666667,美甲師,Manicurists and pedicurists,324,83.5,16.5,23.8,6.4,64.8,13.7
secretary,1.83,13.8333333333333,秘書,"Secretaries and administrative assistants, except legal, medical, and executive",1841,91.9,8.09999999999999,82.9,11.1,3.1,14.8
hairdresser,1.88,14.6666666666667,髮型師,"Hairdressers, hairstylists, and cosmetologists",717,92.1,7.90000000000001,77,13.2,6.8,18
dress maker,1.93,15.5,裁縫師,"Tailors, dressmakers, and sewers",51,81.4,18.6,79.9,6.3,12.5,28.6
receptionist,1.95,15.8333333333333,接待員,Receptionists and information clerks,1196,89.1,10.9,78.6,12.8,3.5,22.5
flight attendant,2.03,17.1666666666667,空服員,Flight attendants,115,78,22,79.7,16.3,3.7,20
housekeeper,2.08,18,家政員,Maids and housekeeping cleaners,1380,88.4,11.6,74,16.1,4.3,51.9
child care worker,2.13,18.8333333333333,兒童照護員,Childcare workers,1036,93.8,6.2,76.5,15.8,3.8,25.9
kindergarten teacher,2.18,19.6666666666667,幼兒園老師,Preschool and kindergarten teachers,669,96.7,3.3,73.5,18.7,3.2,16.5
interior decorator,2.2,20,室內裝潢師,Interior designers,103,85.3,14.7,90.7,2.3,7,9.9
elementary school teacher,2.25,20.8333333333333,小學老師,Elementary and middle school teachers,3436,78.6,21.4,83.2,11.2,3.8,11.1
registered nurse,2.28,21.3333333333333,註冊護理師,Registered nurses,3472,87.4,12.6,72.6,15.6,8.9,8.9
librarian,2.33,22.1666666666667,圖書館員,Librarians and media collections specialists,146,82.5,17.5,81.2,7,5.5,11.1
dietician,2.68,28,營養師,Dietitians and nutritionists,114,86.3,13.7,75.9,13,8.2,14.5
exercise instructor,2.68,28,運動教練,Exercise trainers and group fitness instructors,257,56.7,43.3,78.9,10.9,6.2,16.8
nutritionist,2.78,29.6666666666667,營養師,Dietitians and nutritionists,114,86.3,13.7,75.9,13,8.2,14.5
hair cutter,2.8,30,理髮師,"Hairdressers, hairstylists, and cosmetologists",717,92.1,7.90000000000001,77,13.2,6.8,18
massage therapist,2.93,32.1666666666667,按摩師,Massage therapists,145,83.7,16.3,82.3,8,6.5,12.4
physician's assistant,3,33.3333333333333,醫師助理,Physician assistants,178,68.8,31.2,84.2,4.8,6.4,7.5
bookkeeper,3.03,33.8333333333333,會計員,"Bookkeeping, accounting, and auditing clerks",1210,86.2,13.8,83.9,7.2,5.8,15.9
high school teacher,3.1,35,高中老師,Secondary school teachers,944,56.9,43.1,87.8,6.1,2.7,9.6
travel agent,3.1,35,旅行社職員,Travel agents,77,79.7,20.3,85.3,9.2,5.5,16
guidance counselor,3.23,37.1666666666667,輔導員,"Educational, guidance, and career counselors and advisors",384,79.2,20.8,76,17.2,2.5,14.1
dental hygienist,3.3,38.3333333333333,牙科衛生士,Dental hygienists,206,95.7,4.3,88.6,4,5.6,11.8
