k,profession,total_count,gf,gm,-
1,cosmetologist,1,1,0,0
1,manicurist,1,1,0,0
1,secretary,1,1,0,0
1,hairdresser,1,1,0,0
1,flight attendant,1,1,0,0
1,dress maker,1,1,0,0
1,receptionist,1,1,0,0
1,florist,1,1,0,0
1,housekeeper,1,1,0,0
1,child care worker,1,1,0,0
1,kindergarten teacher,1,1,0,0
1,interior decorator,1,1,0,0
1,registered nurse,1,1,0,0
1,elementary school teacher,1,1,0,0
1,librarian,1,1,0,0
1,cake decorator,1,1,0,0
1,dietician,1,1,0,0
1,exercise instructor,1,1,0,0
1,nutritionist,1,1,0,0
1,hair cutter,1,1,0,0
1,physician's assistant,1,1,0,0
1,massage therapist,1,1,0,0
1,bookkeeper,1,1,0,0
1,high school teacher,1,1,0,0
1,travel agent,1,1,0,0
1,guidance counselor,1,1,0,0
1,dental hygienist,1,1,0,0
1,real estate agent,1,1,0,0
1,counseling psychologist,1,1,0,0
1,baker,1,1,0,0
1,school psychologist,1,1,0,0
1,occupational therapist,1,1,0,0
1,cashier,1,1,0,0
1,reporter,1,1,0,0
1,server,1,1,0,0
1,clinical psychologist,1,1,0,0
1,animal caretaker,1,1,0,0
1,paralegal,1,1,0,0
1,physical therapist,1,1,0,0
1,singer,1,1,0,0
1,artist,1,1,0,0
1,veterinarian,1,1,0,0
1,cook,1,1,0,0
1,author,1,1,0,0
1,photographer,1,1,0,0
1,tour guide,1,1,0,0
1,journalist,1,1,0,0
1,phlebotomist,1,1,0,0
1,writer,1,1,0,0
1,emergency medical care,1,1,0,0
1,graphic designer,1,1,0,0
1,accountant,1,1,0,0
1,lawyer,1,1,0,0
1,concierge,1,1,0,0
1,forensic psychologist,1,1,0,0
1,salesperson,1,1,0,0
1,editor,1,1,0,0
1,insurance agent,1,1,0,0
1,theatrical director,1,0,1,0
1,pharmacist,1,1,0,0
1,doctor,1,1,0,0
1,systems analyst,1,0,1,0
1,judge,1,0,1,0
1,research scientist,1,1,0,0
1,professor,1,1,0,0
1,income tax preparer,1,1,0,0
1,chef,1,1,0,0
1,executive,1,1,0,0
1,radio technician,1,1,0,0
1,chiropractor,1,1,0,0
1,landscaper,1,1,0,0
1,tailor,1,0,1,0
1,bartender,1,1,0,0
1,surgeon,1,1,0,0
1,computer programmer,1,0,1,0
1,movie director,1,1,0,0
1,painter,1,1,0,0
1,dentist,1,1,0,0
1,groundskeeper,1,1,0,0
1,architect,1,1,0,0
1,stock broker,1,1,0,0
1,police officer,1,1,0,0
1,janitor,1,1,0,0
1,coach,1,1,0,0
1,rancher,1,1,0,0
1,probation officer,1,1,0,0
1,bell hop,1,0,1,0
1,pilot,1,1,0,0
1,drafting worker,1,1,0,0
1,highway worker,1,1,0,0
1,stone cutter,1,1,0,0
1,logger,1,0,1,0
1,private detective,1,1,0,0
1,electrician,1,0,1,0
1,fire fighter,1,1,0,0
1,butcher,1,0,1,0
1,guard,1,1,0,0
1,plumber,1,1,0,0
1,farmer,1,0,1,0
1,carpenter,1,0,1,0
1,trucker,1,1,0,0
1,barber,1,0,1,0
1,construction worker,1,1,0,0
1,roofer,1,0,1,0
1,auto mechanic,1,0,1,0
1,heavy equipment operator,1,0,1,0
2,cosmetologist,1,1,0,0
2,manicurist,1,1,0,0
2,secretary,1,1,0,0
2,hairdresser,1,1,0,0
2,flight attendant,1,1,0,0
2,dress maker,1,1,0,0
2,receptionist,1,1,0,0
2,florist,1,1,0,0
2,housekeeper,1,1,0,0
2,child care worker,1,1,0,0
2,kindergarten teacher,1,1,0,0
2,interior decorator,1,1,0,0
2,registered nurse,1,1,0,0
2,elementary school teacher,1,1,0,0
2,librarian,1,1,0,0
2,cake decorator,1,1,0,0
2,dietician,1,1,0,0
2,exercise instructor,1,1,0,0
2,nutritionist,1,1,0,0
2,hair cutter,1,1,0,0
2,physician's assistant,1,1,0,0
2,massage therapist,1,1,0,0
2,bookkeeper,1,1,0,0
2,high school teacher,1,1,0,0
2,travel agent,1,1,0,0
2,guidance counselor,1,1,0,0
2,dental hygienist,1,1,0,0
2,real estate agent,1,1,0,0
2,counseling psychologist,1,1,0,0
2,baker,1,1,0,0
2,school psychologist,1,1,0,0
2,occupational therapist,1,1,0,0
2,cashier,1,1,0,0
2,reporter,1,1,0,0
2,server,1,1,0,0
2,clinical psychologist,1,1,0,0
2,animal caretaker,1,1,0,0
2,paralegal,1,1,0,0
2,physical therapist,1,1,0,0
2,singer,1,1,0,0
2,artist,1,1,0,0
