Profession in GSR,Average,Men rate,Occupation in US BLS,Total Employed,Women Percent,Men Percent
cosmetologist,1.5,8.33,"Hairdressers, hairstylists, and cosmetologists",717,92.1,7.9
manicurist,1.63,10.5,Manicurists and pedicurists,324,83.5,16.5
secretary,1.83,13.83,"Secretaries and administrative assistants, except legal, medical, and executive","1,841",91.9,8.1
hairdresser,1.95,15.83,"Hairdressers, hairstylists, and cosmetologists",717,92.1,7.9
flight attendant,1.98,16.33,Flight attendants,115,78,22
dress maker,2,16.67,"Tailors, dressmakers, and sewers",51,81.4,18.6
receptionist,2.02,17,Receptionists and information clerks,"1,196",89.1,10.9
florist,2.02,17.5,Floral designers,63,89.1,10.9
housekeeper,2.03,17.17,Maids and housekeeping cleaners,"1,380",88.4,11.6
child care worker,2.08,18,Childcare workers,"1,036",93.8,6.2
kindergarten teacher,2.1,18.33,Preschool and kindergarten teachers,669,96.7,3.3
interior decorator,2.23,20.5,Interior designers,103,85.3,14.7
registered nurse,2.25,20.83,Registered nurses,"3,472",87.4,12.6
elementary school teacher,2.27,21.17,Elementary and middle school teachers,"3,436",78.6,21.4
librarian,2.37,22.83,Librarians and media collections specialists,146,82.5,17.5
cake decorator,2.5,23.83,Bakers,233,65.5,34.5
dietician,2.68,28,Dietitians and nutritionists,114,86.3,13.7
exercise instructor,2.68,28,Exercise trainers and group fitness instructors,257,56.7,43.3
nutritionist,2.7,28.33,Dietitians and nutritionists,114,86.3,13.7
hair cutter,2.78,29.67,"Hairdressers, hairstylists, and cosmetologists",717,92.1,7.9
physician's assistant,3,33.33,Physician assistants,178,68.8,31.2
massage therapist,3.02,33.67,Massage therapists,145,83.7,16.3
bookkeeper,3.02,33.67,"Bookkeeping, accounting, and auditing clerks","1,210",86.2,13.8
high school teacher,3.13,35.5,Secondary school teachers,944,56.9,43.1
travel agent,3.15,35.83,Travel agents,77,79.7,20.3
guidance counselor,3.2,36.67,"Educational, guidance, and career counselors and advisors",384,79.2,20.8
dental hygienist,3.32,38.67,Dental hygienists,206,95.7,4.3
real estate agent,3.32,38.67,Real estate brokers and sales agents,"1,031",57,43
counseling psychologist,3.4,40,Other psychologists,153,78.4,21.6
baker,3.42,40.33,Bakers,233,65.5,34.5
school psychologist,3.43,40.5,School psychologists,56,87.9,12.1
occupational therapist,3.52,42,Occupational therapists,155,88.6,11.4
cashier,3.52,42,Cashiers,"2,576",69.8,30.2
reporter,3.57,42.83,"News analysts, reporters, and journalists",65,51.3,48.7
server,3.68,44.67,"Food servers, nonrestaurant",215,69.2,30.8
clinical psychologist,3.68,44.67,Other psychologists,153,78.4,21.6
animal caretaker,3.73,45.5,Animal caretakers,361,76,24
paralegal,3.75,45.83,Paralegals and legal assistants,434,83,17
physical therapist,3.82,47,Physical therapists,312,67.5,32.5
singer,3.83,47.17,Musicians and singers,170,27.1,72.9
artist,3.88,48,Artists and related workers,334,51.6,48.4
veterinarian,3.92,48.67,Veterinarians,87,69.1,30.9
cook,3.92,48.67,Cooks,"2,016",39.8,60.2
